Name,Volume,Ask Size,Ask Price,Bid Size,Bid Price,Last Price,Shares Matched,Shares Routed
FRDM,4978,0,0.00,0,0.00,30.62,4978,0
DIHP,4809,0,0.00,0,0.00,23.13,4809,0
PSEP,4808,0,0.00,0,0.00,28.75,4794,14
MOHR,4800,0,0.00,0,0.00,21.36,4800,0
FDG,4787,0,0.00,0,0.00,56.50,4787,0
ROMO,4713,0,0.00,0,0.00,25.98,4713,0
NUMG,4657,0,0.00,0,0.00,36.87,4657,0
LYFE,4609,0,0.00,0,0.00,30.24,4609,0
BMAY,4501,0,0.00,0,0.00,29.99,4001,500
KAPR,4438,0,0.00,0,0.00,25.20,4438,0
GVI,4408,0,0.00,0,0.00,105.97,4408,0
VXZ,4362,0,0.00,0,0.00,29.10,4362,0
SMIN,4325,0,0.00,0,0.00,52.09,4325,0
MAMB,4285,0,0.00,0,0.00,22.57,4135,150
FCLD,4244,0,0.00,0,0.00,16.52,3309,935
XSHQ,4129,0,0.00,0,0.00,33.42,3967,162
DRSK,4115,0,0.00,0,0.00,26.82,4115,0
MEAR,4002,0,0.00,0,0.00,49.60,4002,0
TMFG,3991,0,0.00,0,0.00,24.26,3991,0
SECT,3970,0,0.00,0,0.00,39.26,3970,0
SHYD,3921,0,0.00,0,0.00,22.19,3773,148
IGRO,3859,0,0.00,0,0.00,60.66,3859,0
MPRO,3700,0,0.00,0,0.00,25.99,3700,0
TTAC,3675,0,0.00,0,0.00,48.19,3675,0
BUFF,3662,0,0.00,0,0.00,34.07,3662,0
SMDV,3659,0,0.00,0,0.00,61.46,3659,0
DFNL,3622,0,0.00,0,0.00,28.04,3622,0
DDEC,3491,0,0.00,0,0.00,30.73,3491,0
ENOR,3349,0,0.00,0,0.00,27.25,3144,205
DSEP,3347,0,0.00,0,0.00,31.21,3347,0
HEEM,3325,0,0.00,0,0.00,25.87,1168,2157
IBMN,3238,0,0.00,0,0.00,26.17,3238,0
FAIL,3236,0,0.00,0,0.00,22.05,3236,0
IBHC,3164,0,0.00,0,0.00,23.59,3086,78
IGHG,3147,0,0.00,0,0.00,70.00,2821,326
VFQY,3112,0,0.00,0,0.00,106.97,2812,300
FRNW,3042,0,0.00,0,0.00,20.54,3042,0
WFHY,3019,0,0.00,0,0.00,46.01,3019,0
PNOV,3008,0,0.00,0,0.00,29.08,3008,0
GVAL,2991,0,0.00,0,0.00,20.06,2991,0
VOTE,2948,0,0.00,0,0.00,47.40,2948,0
FCTR,2937,0,0.00,0,0.00,29.76,2937,0
FDRV,2855,0,0.00,0,0.00,19.38,2855,0
PAUG,2821,0,0.00,0,0.00,28.87,2821,0
FBCV,2801,0,0.00,0,0.00,28.45,2801,0
JCPB,2776,0,0.00,0,0.00,48.40,2776,0
IBMP,2764,0,0.00,0,0.00,24.68,2764,0
DWLD,2755,0,0.00,0,0.00,24.94,2755,0
PJUN,2681,0,0.00,0,0.00,30.61,2681,0
XVV,2648,0,0.00,0,0.00,30.74,2648,0
EYLD,2620,0,0.00,0,0.00,29.05,2620,0
FLQL,2557,0,0.00,0,0.00,41.89,2557,0
GSST,2537,0,0.00,0,0.00,50.00,2537,0
XJR,2528,0,0.00,0,0.00,34.97,2528,0
FJUN,2465,0,0.00,0,0.00,35.45,2465,0
OEUR,2465,0,0.00,0,0.00,23.92,2465,0
BOCT,2380,0,0.00,0,0.00,31.86,2380,0
AESR,2363,0,0.00,0,0.00,12.06,2363,0
IGEB,2281,0,0.00,0,0.00,45.23,2281,0
GAA,2243,0,0.00,0,0.00,28.59,2243,0
IZRL,2225,0,0.00,0,0.00,19.67,2225,0
IBMM,2164,0,0.00,0,0.00,25.70,2164,0
PTNQ,2100,0,0.00,0,0.00,52.63,2100,0
KWT,2059,0,0.00,0,0.00,37.57,1959,100
LUXE,2052,0,0.00,0,0.00,22.66,2052,0
SVAL,2048,0,0.00,0,0.00,28.91,2048,0
QVAL,2003,0,0.00,0,0.00,35.89,2003,0
PAWZ,2002,0,0.00,0,0.00,55.78,2002,0
IBMO,1975,0,0.00,0,0.00,24.88,1875,100
MSVX,1970,0,0.00,0,0.00,26.04,1970,0
IDME,1956,0,0.00,0,0.00,21.05,1956,0
FJUL,1913,0,0.00,0,0.00,33.89,1913,0
IEME,1905,0,0.00,0,0.00,27.43,1404,501
DJUN,1871,0,0.00,0,0.00,32.76,1871,0
APXH,1866,0,0.00,0,0.00,8.68,1866,0
LVHI,1853,0,0.00,0,0.00,27.35,1853,0
VFMV,1848,0,0.00,0,0.00,99.79,1848,0
DFNV,1834,0,0.00,0,0.00,22.98,1834,0
JBBB,1825,0,0.00,0,0.00,46.00,1825,0
USMF,1816,0,0.00,0,0.00,39.09,1816,0
DUSA,1798,0,0.00,0,0.00,29.67,1798,0
EDEN,1781,0,0.00,0,0.00,91.14,1781,0
DFND,1766,0,0.00,0,0.00,34.50,1766,0
